#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-04_epo-020	0.26	2.49	0.00	1.52	0.997	1.000	0.995	0.809	0.828
batch-04_epo-040	0.24	1.95	0.00	1.47	0.997	1.000	0.995	0.810	0.828
batch-04_epo-060	0.25	2.03	0.00	1.32	0.999	1.000	0.995	0.814	0.832
batch-04_epo-080	0.25	2.18	0.00	1.18	0.999	1.000	0.995	0.819	0.836
batch-04_epo-100	0.26	2.20	0.00	1.17	0.996	1.000	0.995	0.821	0.838
batch-08_epo-020	0.26	1.74	0.00	2.41	0.995	1.000	0.995	0.809	0.828
batch-08_epo-040	0.29	1.74	0.00	2.35	0.999	1.000	0.995	0.810	0.829
batch-08_epo-060	0.27	1.76	0.00	2.25	0.999	1.000	0.995	0.811	0.829
batch-08_epo-080	0.29	1.76	0.00	2.26	0.999	0.998	0.995	0.821	0.839
batch-08_epo-100	0.27	1.76	0.00	1.96	0.996	0.998	0.995	0.822	0.839
batch-16_epo-020	0.70	1.67	0.00	1.59	0.999	1.000	0.995	0.801	0.820
batch-16_epo-040	0.69	1.58	0.00	1.53	0.999	1.000	0.995	0.814	0.832
batch-16_epo-060	0.69	1.65	0.00	1.39	0.996	0.999	0.995	0.814	0.832
batch-16_epo-080	0.70	1.57	0.00	1.32	0.998	1.000	0.995	0.817	0.835
batch-16_epo-100	0.70	1.68	0.00	1.33	0.997	1.000	0.995	0.818	0.835
