epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.58693,1.1037,2.40793,0.95553,0.74055,0.70734,0.81921,0.59684,0.93073,1.76783,0.91348,0.000470524,0.000470524,0.000470524
2,9.80179,1.07977,1.25528,0.97274,0.95183,0.94825,0.98633,0.73862,0.89532,0.82784,0.92485,0.000937484,0.000937484,0.000937484
3,13.9913,1.02469,1.00977,0.96685,0.97772,0.97133,0.99351,0.7497,0.88753,0.74411,0.94023,0.00139501,0.00139501,0.00139501
4,18.1875,1.0073,0.95177,0.95957,0.98578,0.97529,0.9918,0.74991,0.90446,0.75581,0.94974,0.00138656,0.00138656,0.00138656
5,22.3923,0.97397,0.85847,0.95015,0.99317,0.99526,0.9948,0.78071,0.8192,0.64018,0.9169,0.00137241,0.00137241,0.00137241
6,26.6105,0.94495,0.8046,0.94772,0.99527,0.99906,0.99496,0.77244,0.83193,0.62451,0.91267,0.00135826,0.00135826,0.00135826
7,30.7721,0.91912,0.75929,0.93684,0.98807,0.98108,0.99288,0.76571,0.84115,0.6441,0.93616,0.00134412,0.00134412,0.00134412
8,34.9531,0.89574,0.7348,0.938,0.99242,1,0.99415,0.78467,0.83062,0.58977,0.92815,0.00132997,0.00132997,0.00132997
9,39.1067,0.89283,0.69626,0.93508,0.99692,1,0.995,0.77937,0.82628,0.55847,0.91793,0.00131582,0.00131582,0.00131582
10,43.3083,0.8993,0.70163,0.94123,0.9979,0.99781,0.995,0.75225,0.91897,0.58281,0.95314,0.00130168,0.00130168,0.00130168
11,47.4553,0.92309,0.67772,0.92284,0.99658,0.99982,0.995,0.78058,0.82612,0.55199,0.9189,0.00128753,0.00128753,0.00128753
12,51.5987,0.919,0.67439,0.9258,0.99731,0.99967,0.995,0.78622,0.83379,0.53944,0.91955,0.00127338,0.00127338,0.00127338
13,55.7776,0.88921,0.63516,0.92402,0.99402,0.99963,0.99498,0.78912,0.81317,0.52922,0.91715,0.00125923,0.00125923,0.00125923
14,59.9542,0.87177,0.6085,0.90719,0.995,0.9984,0.99461,0.79264,0.81864,0.52713,0.9121,0.00124509,0.00124509,0.00124509
15,64.1967,0.87293,0.61262,0.92421,0.9939,0.99781,0.9943,0.78738,0.81952,0.51336,0.91661,0.00123094,0.00123094,0.00123094
16,68.367,0.85588,0.63564,0.92677,0.99889,0.99819,0.995,0.79611,0.79083,0.48931,0.90682,0.00121679,0.00121679,0.00121679
17,72.5246,0.8603,0.59401,0.91291,0.9918,0.99781,0.99463,0.79104,0.80012,0.48716,0.9078,0.00120265,0.00120265,0.00120265
18,76.6711,0.84586,0.5757,0.90914,0.99118,0.99537,0.99472,0.79124,0.82561,0.47471,0.91709,0.0011885,0.0011885,0.0011885
19,80.8241,0.84664,0.56886,0.92193,0.99529,0.99905,0.99485,0.7954,0.78774,0.46656,0.90425,0.00117435,0.00117435,0.00117435
20,84.9413,0.83472,0.56946,0.91806,0.99309,1,0.99493,0.80104,0.77967,0.44069,0.9041,0.00116021,0.00116021,0.00116021
21,89.1543,0.83289,0.55996,0.91089,0.99701,1,0.995,0.79963,0.79312,0.43628,0.90802,0.00114606,0.00114606,0.00114606
22,93.3412,0.83547,0.55791,0.91955,0.9967,0.99981,0.995,0.80061,0.78336,0.44697,0.9045,0.00113191,0.00113191,0.00113191
23,97.4884,0.8332,0.54472,0.89496,0.99937,1,0.995,0.80176,0.77345,0.42052,0.90064,0.00111776,0.00111776,0.00111776
24,101.642,0.84507,0.5406,0.9181,0.99918,0.99904,0.995,0.79753,0.78571,0.43273,0.90736,0.00110362,0.00110362,0.00110362
25,105.797,0.81965,0.51641,0.90095,0.99955,1,0.995,0.79935,0.79382,0.42589,0.91526,0.00108947,0.00108947,0.00108947
26,109.918,0.82038,0.52377,0.91515,0.99628,0.99811,0.99491,0.79697,0.79884,0.42663,0.9084,0.00107532,0.00107532,0.00107532
27,114.1,0.84156,0.52416,0.90845,0.99504,0.99794,0.99496,0.80101,0.78286,0.42473,0.90529,0.00106118,0.00106118,0.00106118
28,118.28,0.83593,0.51184,0.92409,0.99634,0.99979,0.995,0.80357,0.77979,0.4153,0.90571,0.00104703,0.00104703,0.00104703
29,122.444,0.85592,0.52661,0.90809,0.99572,0.99953,0.995,0.79717,0.7847,0.41374,0.90857,0.00103288,0.00103288,0.00103288
30,126.557,0.83936,0.50738,0.90549,0.99954,1,0.995,0.79959,0.76867,0.41203,0.90593,0.00101873,0.00101873,0.00101873
31,130.734,0.83907,0.50679,0.91282,0.99925,0.99998,0.995,0.79933,0.77849,0.40082,0.90753,0.00100459,0.00100459,0.00100459
32,134.898,0.81657,0.49233,0.91258,0.99761,1,0.995,0.79234,0.79461,0.40987,0.90921,0.00099044,0.00099044,0.00099044
33,139.011,0.83792,0.49123,0.90971,0.9968,0.99827,0.995,0.80311,0.77778,0.39967,0.90853,0.000976293,0.000976293,0.000976293
34,143.109,0.81814,0.49322,0.898,0.99891,1,0.995,0.79821,0.77542,0.40125,0.90591,0.000962146,0.000962146,0.000962146
35,147.264,0.81181,0.48034,0.90147,0.99917,1,0.995,0.80553,0.76399,0.392,0.90063,0.000947999,0.000947999,0.000947999
36,151.395,0.81708,0.48228,0.91727,0.99919,1,0.995,0.80708,0.76691,0.39444,0.90377,0.000933851,0.000933851,0.000933851
37,155.56,0.80651,0.47277,0.91073,0.99941,1,0.995,0.7994,0.77196,0.38668,0.90379,0.000919704,0.000919704,0.000919704
38,159.677,0.81979,0.46717,0.90178,0.99868,1,0.995,0.80748,0.77746,0.38611,0.90516,0.000905557,0.000905557,0.000905557
39,163.78,0.81958,0.4706,0.90617,0.999,1,0.995,0.81003,0.7677,0.38011,0.90218,0.00089141,0.00089141,0.00089141
40,167.922,0.8179,0.46725,0.90148,0.99918,1,0.995,0.80893,0.76258,0.37558,0.90159,0.000877263,0.000877263,0.000877263
41,172.068,0.80525,0.45621,0.90109,0.99895,1,0.995,0.8105,0.76361,0.37093,0.90223,0.000863116,0.000863116,0.000863116
42,176.287,0.79974,0.45208,0.9043,0.99945,0.99831,0.995,0.81013,0.76039,0.36945,0.90157,0.000848969,0.000848969,0.000848969
43,180.41,0.80345,0.45125,0.89666,0.9984,0.99931,0.995,0.81072,0.76411,0.37231,0.90588,0.000834822,0.000834822,0.000834822
44,184.502,0.82068,0.45469,0.89794,0.99883,1,0.995,0.80053,0.80444,0.38444,0.91661,0.000820675,0.000820675,0.000820675
45,188.698,0.82523,0.45551,0.90944,0.99941,1,0.995,0.81159,0.76016,0.37324,0.90523,0.000806528,0.000806528,0.000806528
46,192.898,0.80993,0.4568,0.9059,0.9992,0.99951,0.995,0.80593,0.76609,0.37563,0.90324,0.00079238,0.00079238,0.00079238
47,197.034,0.80645,0.44027,0.90311,0.99632,0.99993,0.995,0.80772,0.76549,0.3641,0.90124,0.000778233,0.000778233,0.000778233
48,201.191,0.77835,0.43457,0.90212,0.99698,0.99781,0.995,0.8101,0.76299,0.36694,0.90516,0.000764086,0.000764086,0.000764086
49,205.278,0.78092,0.42679,0.90877,0.99825,0.99888,0.995,0.81251,0.75731,0.3632,0.89974,0.000749939,0.000749939,0.000749939
50,209.441,0.79148,0.43838,0.88494,0.99865,0.99875,0.995,0.81839,0.76247,0.36854,0.90597,0.000735792,0.000735792,0.000735792
