epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.77206,1.1856,3.54505,1.01623,0.00587,0.14841,0.00471,0.00283,1.20065,3.53261,1.02427,5.716e-05,5.716e-05,5.716e-05
2,3.73931,0.92237,3.3915,0.92453,0.02027,0.46706,0.09843,0.06944,0.8504,3.36111,0.8804,0.000122244,0.000122244,0.000122244
3,4.65906,0.87908,2.8887,0.91365,0.03791,0.86071,0.30999,0.19687,0.94101,3.22836,0.87323,0.000180254,0.000180254,0.000180254
4,5.59005,0.90436,2.57523,0.91226,0.03914,0.93413,0.45341,0.31527,0.82753,3.15078,0.85016,0.000231191,0.000231191,0.000231191
5,6.55307,0.87301,2.2125,0.9027,0.03671,0.95,0.51594,0.30486,0.90006,3.15803,0.86551,0.000275054,0.000275054,0.000275054
6,7.46795,0.90317,1.78146,0.90529,0.03501,0.94167,0.57493,0.33937,0.99663,3.11218,0.88774,0.000311844,0.000311844,0.000311844
7,8.38851,0.88103,1.62189,0.92063,0.03344,0.925,0.61307,0.45856,0.84879,2.98737,0.87087,0.00034156,0.00034156,0.00034156
8,9.2963,0.87849,1.38152,0.92926,0.03228,0.93333,0.60565,0.44332,0.84576,2.93918,0.87711,0.000364202,0.000364202,0.000364202
9,10.1961,0.86282,1.18977,0.92266,0.99242,0.11343,0.58264,0.42991,0.88143,2.93819,0.89174,0.000379771,0.000379771,0.000379771
10,11.0999,0.85003,1.09902,0.92685,1,0.07854,0.633,0.49701,0.82245,2.80219,0.86342,0.000388266,0.000388266,0.000388266
11,12.0134,0.79383,0.88751,0.90174,1,0.10207,0.68506,0.54762,0.80835,2.73335,0.86569,0.000389688,0.000389688,0.000389688
12,12.8683,0.75244,0.83236,0.89147,1,0.17166,0.70084,0.56083,0.79503,2.66606,0.86763,0.000384037,0.000384037,0.000384037
13,13.725,0.74568,0.80852,0.91451,0.98541,0.23083,0.73259,0.59576,0.78381,2.57523,0.8716,0.000371311,0.000371311,0.000371311
14,14.5748,0.74284,0.80588,0.88684,0.98114,0.28862,0.82019,0.66023,0.78139,2.39629,0.87366,0.000351513,0.000351513,0.000351513
15,15.4222,0.74022,0.76087,0.90705,1,0.36091,0.90011,0.72102,0.79424,2.23988,0.88039,0.00032464,0.00032464,0.00032464
16,16.2715,0.73227,0.75991,0.89125,1,0.45908,0.95213,0.75862,0.78203,2.06768,0.88286,0.000290694,0.000290694,0.000290694
17,17.1219,0.72621,0.72406,0.89853,1,0.64884,0.96859,0.78582,0.74087,1.89605,0.87775,0.000249675,0.000249675,0.000249675
18,17.9826,0.71458,0.70593,0.88083,0.98168,0.8254,0.9753,0.79522,0.72622,1.70875,0.87904,0.000201582,0.000201582,0.000201582
19,18.8495,0.69084,0.69371,0.89918,0.97668,0.87587,0.97872,0.80019,0.72229,1.51602,0.87965,0.000146415,0.000146415,0.000146415
20,19.7099,0.70134,0.70117,0.89993,0.97731,0.92606,0.97912,0.80513,0.71536,1.34597,0.87876,8.41752e-05,8.41752e-05,8.41752e-05
