epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.01792,1.17989,3.66486,1.0489,0.00393,0.11508,0.01239,0.00457,1.34023,3.60936,1.11509,2.858e-05,2.858e-05,2.858e-05
2,2.88119,1.15906,3.64246,1.01901,0.00608,0.18095,0.03009,0.01184,1.19434,3.56558,1.05433,7.05658e-05,7.05658e-05,7.05658e-05
3,3.79121,0.99533,3.44234,0.99622,0.01103,0.32857,0.06922,0.04935,0.94592,3.44979,0.93901,0.000111491,0.000111491,0.000111491
4,4.6691,0.94359,2.89538,0.95214,0.01733,0.51627,0.22824,0.15363,0.87323,3.34494,0.90109,0.000151354,0.000151354,0.000151354
5,5.54935,0.86634,1.95437,0.93108,0.02481,0.74246,0.32695,0.20837,0.96292,3.18125,0.91344,0.000190157,0.000190157,0.000190157
6,6.42763,0.88144,1.32512,0.93583,1,0.08322,0.55661,0.41491,0.8484,2.86111,0.8878,0.000227899,0.000227899,0.000227899
7,7.30744,0.87746,1.11976,0.94771,0.93502,0.44288,0.63001,0.4634,0.88647,2.76556,0.89438,0.000264579,0.000264579,0.000264579
8,8.16916,0.84779,0.98989,0.93787,0.4236,0.71151,0.69162,0.53831,0.81776,2.76615,0.88368,0.000300199,0.000300199,0.000300199
9,9.04495,0.78206,0.85966,0.92609,1,0.12033,0.73856,0.56057,0.84246,2.74374,0.88785,0.000334758,0.000334758,0.000334758
10,9.89908,0.79773,0.87472,0.91814,1,0.13895,0.74059,0.5797,0.81971,2.74413,0.8825,0.000368255,0.000368255,0.000368255
11,10.756,0.7674,0.82307,0.91449,1,0.18005,0.74838,0.59304,0.79267,2.70458,0.87878,0.000400692,0.000400692,0.000400692
12,11.6009,0.78639,0.7416,0.90797,1,0.21195,0.75453,0.60663,0.78834,2.67129,0.8788,0.000432067,0.000432067,0.000432067
13,12.4507,0.75707,0.72162,0.92068,1,0.21394,0.74972,0.60756,0.77064,2.62948,0.88083,0.000462382,0.000462382,0.000462382
14,13.2967,0.77203,0.72358,0.89917,1,0.20632,0.74437,0.58502,0.79029,2.63717,0.8883,0.000491635,0.000491635,0.000491635
15,14.1401,0.80047,0.74328,0.9273,1,0.19754,0.75046,0.59121,0.84815,2.65108,0.90077,0.000519827,0.000519827,0.000519827
16,14.9918,0.77766,0.70509,0.91695,1,0.14951,0.75412,0.60592,0.8291,2.62895,0.89892,0.000546959,0.000546959,0.000546959
17,15.8417,0.75687,0.69317,0.93967,0.99212,0.16356,0.75604,0.61108,0.78021,2.56473,0.88577,0.000573029,0.000573029,0.000573029
18,16.7097,0.76867,0.67491,0.90881,0.99809,0.17178,0.80536,0.6627,0.76897,2.46578,0.88585,0.000598038,0.000598038,0.000598038
19,17.5853,0.77497,0.67939,0.93958,1,0.29215,0.94182,0.76413,0.80332,2.25556,0.89702,0.000621987,0.000621987,0.000621987
20,18.4381,0.76145,0.67276,0.93413,1,0.32188,0.93917,0.77054,0.77196,2.21541,0.89012,0.000644874,0.000644874,0.000644874
21,19.3069,0.78827,0.64855,0.91554,1,0.45997,0.90542,0.73738,0.76499,2.20855,0.88932,0.0006667,0.0006667,0.0006667
22,20.1607,0.78351,0.67878,0.91875,1,0.51919,0.92146,0.75716,0.75054,2.10973,0.88862,0.000687465,0.000687465,0.000687465
23,21.0112,0.76318,0.63844,0.90826,1,0.71824,0.96047,0.76489,0.85377,1.84151,0.91475,0.000707169,0.000707169,0.000707169
24,21.8567,0.79252,0.62656,0.92244,0.98635,0.7718,0.96379,0.76841,0.8366,1.71937,0.91019,0.000725812,0.000725812,0.000725812
25,22.7165,0.7533,0.61065,0.903,0.98463,0.79703,0.96404,0.7823,0.78137,1.60855,0.89244,0.000743394,0.000743394,0.000743394
26,23.5675,0.71556,0.59473,0.91125,0.98272,0.75871,0.95729,0.78973,0.75164,1.55096,0.8838,0.000759915,0.000759915,0.000759915
27,24.4239,0.7445,0.59792,0.90231,0.95797,0.76621,0.96722,0.79588,0.74608,1.46814,0.88528,0.000775375,0.000775375,0.000775375
28,25.2714,0.71063,0.63141,0.91643,0.93686,0.8117,0.98859,0.78797,0.81841,1.35281,0.90674,0.000789774,0.000789774,0.000789774
29,26.1169,0.72452,0.59819,0.90471,0.90484,0.90707,0.99459,0.79497,0.80524,1.20367,0.90633,0.000803112,0.000803112,0.000803112
30,27.0002,0.74966,0.57786,0.89459,0.95898,0.94159,0.99484,0.81307,0.75217,1.09734,0.89354,0.000815389,0.000815389,0.000815389
31,27.8491,0.72904,0.62738,0.91039,0.93476,0.93938,0.99399,0.82088,0.72678,1.07524,0.88611,0.000826605,0.000826605,0.000826605
32,28.7029,0.68873,0.55717,0.89004,0.91863,0.95,0.99378,0.82199,0.72737,1.05109,0.8834,0.00083676,0.00083676,0.00083676
33,29.5531,0.67215,0.5596,0.90462,0.94307,0.93695,0.9911,0.81314,0.73382,0.99184,0.88431,0.000845854,0.000845854,0.000845854
34,30.394,0.67562,0.555,0.90377,0.9596,0.95,0.99378,0.82169,0.71858,0.89279,0.88209,0.000845432,0.000845432,0.000845432
35,31.2558,0.68784,0.55091,0.88493,0.97913,0.9822,0.995,0.82126,0.74363,0.77143,0.8916,0.000827748,0.000827748,0.000827748
36,32.0958,0.72346,0.56486,0.91289,0.97969,0.98983,0.995,0.82062,0.73702,0.75227,0.88639,0.000810064,0.000810064,0.000810064
37,32.9369,0.72176,0.59021,0.91672,0.97312,0.98333,0.99459,0.80233,0.7702,0.82656,0.89201,0.00079238,0.00079238,0.00079238
38,33.7671,0.72415,0.56926,0.90572,0.97948,0.98345,0.995,0.8073,0.76611,0.88221,0.89434,0.000774697,0.000774697,0.000774697
39,34.6018,0.72042,0.57936,0.89494,0.98063,0.97976,0.995,0.81418,0.75192,0.83261,0.89314,0.000757013,0.000757013,0.000757013
40,35.4485,0.73448,0.57452,0.92097,0.98823,0.96322,0.98971,0.80625,0.75739,0.75284,0.89875,0.000739329,0.000739329,0.000739329
41,36.2861,0.69182,0.55656,0.88557,0.9627,0.97414,0.98652,0.79795,0.74446,0.6833,0.89782,0.000721645,0.000721645,0.000721645
42,37.1277,0.70292,0.55554,0.90556,0.97992,0.98543,0.99006,0.80767,0.75241,0.65897,0.89775,0.000703961,0.000703961,0.000703961
43,37.9692,0.73033,0.55956,0.91206,0.98042,0.97975,0.99284,0.8137,0.74044,0.65443,0.89429,0.000686277,0.000686277,0.000686277
44,38.8146,0.67353,0.55049,0.89772,0.97691,0.99324,0.99288,0.80992,0.73844,0.66339,0.89622,0.000668593,0.000668593,0.000668593
45,39.6521,0.6927,0.54592,0.88558,0.97806,0.99976,0.99364,0.81439,0.74644,0.64466,0.90321,0.000650909,0.000650909,0.000650909
46,40.4956,0.71648,0.56144,0.9175,0.9956,0.98245,0.99439,0.82996,0.72097,0.60012,0.89554,0.000633226,0.000633226,0.000633226
47,41.3426,0.71527,0.54698,0.91155,0.99387,0.98079,0.99439,0.83514,0.6992,0.56964,0.88799,0.000615542,0.000615542,0.000615542
48,42.1939,0.71234,0.53784,0.90327,0.98514,0.98146,0.99439,0.82529,0.71219,0.57408,0.88977,0.000597858,0.000597858,0.000597858
49,43.0363,0.70732,0.53289,0.90719,0.97513,0.99859,0.99439,0.82267,0.7101,0.57332,0.88705,0.000580174,0.000580174,0.000580174
50,43.8701,0.69688,0.54148,0.89566,0.97901,0.99991,0.99439,0.83056,0.71199,0.57041,0.88768,0.00056249,0.00056249,0.00056249
51,44.7015,0.69106,0.53508,0.88688,0.99359,0.99898,0.995,0.81528,0.72537,0.55649,0.88883,0.000544806,0.000544806,0.000544806
52,45.5301,0.70681,0.53221,0.90107,0.99411,0.9977,0.995,0.81458,0.73863,0.53828,0.88896,0.000527122,0.000527122,0.000527122
53,46.3751,0.70645,0.53552,0.8898,0.99349,0.9979,0.995,0.82317,0.72764,0.52326,0.88731,0.000509438,0.000509438,0.000509438
54,47.2118,0.67756,0.49113,0.88577,0.99314,0.99797,0.995,0.82833,0.70577,0.51717,0.88555,0.000491755,0.000491755,0.000491755
55,48.0498,0.69517,0.50223,0.91645,0.99343,0.99946,0.995,0.8316,0.7046,0.51371,0.88759,0.000474071,0.000474071,0.000474071
56,48.8919,0.67183,0.50582,0.88351,0.99302,1,0.995,0.82982,0.69995,0.50621,0.88916,0.000456387,0.000456387,0.000456387
