epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.66099,1.39862,3.36274,1.2684,0.7394,0.15873,0.09829,0.0516,1.59127,4.45109,1.38475,0.00017148,0.00017148,0.00017148
2,3.96772,1.36951,3.34479,1.27422,0.4062,0.21667,0.27923,0.21168,0.99902,25.2998,1.23892,0.000353713,0.000353713,0.000353713
3,5.36719,1.00666,1.96679,1.10314,0.75628,0.59847,0.76314,0.58943,0.76139,2.78297,1.01771,0.000532268,0.000532268,0.000532268
4,6.75816,0.84613,1.90243,1.00707,0.87742,0.84091,0.9055,0.7291,0.77916,10.6386,0.93845,0.000707145,0.000707145,0.000707145
5,8.14066,0.86652,1.31088,0.97906,0.62186,0.75992,0.67891,0.50254,0.91808,15.1744,1.00813,0.000878343,0.000878343,0.000878343
6,9.48935,0.92786,1.22253,1.02717,0.74619,0.74187,0.78939,0.62043,0.83883,3.28707,0.99101,0.00104586,0.00104586,0.00104586
7,10.8895,0.88123,1.23706,1.01677,0.82116,0.8421,0.85505,0.68205,0.78611,1.62954,0.98228,0.00120971,0.00120971,0.00120971
8,12.3328,0.82829,1.21585,1.01548,0.60469,0.8373,0.72038,0.56133,0.8332,3.02632,0.99288,0.00132997,0.00132997,0.00132997
9,13.6724,0.86295,0.95757,1.00788,0.60469,0.8373,0.72038,0.56133,0.8332,3.02632,0.99288,0.00131582,0.00131582,0.00131582
10,15.0075,0.87634,0.94482,1.05224,0.74203,0.81276,0.78174,0.62273,0.78305,1.82447,1.01905,0.00130168,0.00130168,0.00130168
11,16.33,0.9024,0.8714,1.01188,0.76111,0.74395,0.79409,0.60842,0.93526,1.56216,1.03742,0.00128753,0.00128753,0.00128753
12,17.6144,0.92503,0.80246,0.98474,0.9712,0.80588,0.9268,0.71337,0.93383,1.08862,1.04414,0.00127338,0.00127338,0.00127338
13,18.8946,0.85972,0.70911,0.99706,0.94172,0.93316,0.97481,0.77331,0.81085,0.84006,0.98492,0.00125923,0.00125923,0.00125923
14,20.2252,0.87108,0.71495,0.99361,0.97139,0.94866,0.97795,0.78891,0.78854,0.66061,1.00106,0.00124509,0.00124509,0.00124509
15,21.5192,0.78932,0.65866,0.95608,0.97139,0.94866,0.97795,0.78891,0.78854,0.66061,1.00106,0.00123094,0.00123094,0.00123094
16,22.8482,0.83997,0.6531,0.99075,0.97615,0.98016,0.98363,0.77275,0.87416,0.58282,1.00296,0.00121679,0.00121679,0.00121679
17,24.1333,0.81249,0.61597,0.99136,0.98461,0.96879,0.98201,0.77934,0.79222,0.56541,0.96125,0.00120265,0.00120265,0.00120265
18,25.4201,0.80448,0.61175,0.97772,0.98666,0.96668,0.98258,0.80858,0.73915,0.56202,0.94043,0.0011885,0.0011885,0.0011885
19,26.7662,0.80581,0.60391,0.98804,0.99051,0.97579,0.99352,0.80332,0.74419,0.54078,0.94218,0.00117435,0.00117435,0.00117435
20,28.043,0.76955,0.58095,0.98224,0.99051,0.97579,0.99352,0.80332,0.74419,0.54078,0.94218,0.00116021,0.00116021,0.00116021
21,29.3363,0.77077,0.54459,0.95234,0.98948,0.97743,0.99439,0.80251,0.77692,0.53612,0.95036,0.00114606,0.00114606,0.00114606
22,30.6363,0.77083,0.53991,0.93507,0.98657,0.99737,0.99484,0.81795,0.72804,0.49642,0.93451,0.00113191,0.00113191,0.00113191
23,31.9821,0.77279,0.5233,0.93776,0.98049,0.99167,0.99484,0.81638,0.74075,0.54299,0.93957,0.00111776,0.00111776,0.00111776
24,33.2739,0.80299,0.55242,0.94941,0.98265,0.99382,0.99439,0.82408,0.71569,0.50357,0.92842,0.00110362,0.00110362,0.00110362
25,34.6259,0.77242,0.54558,0.95521,0.98265,0.99382,0.99439,0.82408,0.71569,0.50357,0.92842,0.00108947,0.00108947,0.00108947
26,35.9539,0.72869,0.4855,0.92124,0.99287,1,0.995,0.83135,0.70874,0.44137,0.92366,0.00107532,0.00107532,0.00107532
